Taxon	H18676	1417.16	H19192	602.16	H18266	H18112	H19465A	1153.13	H19457A	1303.15	H657.17	H19259	1331.14	H19521A	H18788A	H192472A	1553.15	H19485A	H18398	950.13	H18910	1066.13	H18442	1069.14	H19142	H15.17	H617.17	H18362	888.16	1637.15	H19497A	H18128	1388.15	725.16	H18421	H18696	1134.15	H18388	1624.12	1093.13	H18786A	H13.17	250.16	H420.17	H18816	H658.17	H456.17	1097.16	H18199	H18122	1017.16	H17666A	H17432A	H694.17	H18689A	505.16	H19368	945.13	1045.16	H18828	125.13	172.14	100.16	783.16	H321.17	H18183	1095.16	H1866.18	H19261	H19556A	H18223	H18433	1948.15	856.16	727.16	H470.17	1714.14	H18108	H18598	H315.17	H1892.18	H18335	1659.14	788.16	H18.38	H19238	1529.16	421.13
Bacteria;Acidobacteria;Holophagae;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Bacteria;Acidobacteria;Other;Other;Other	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	8.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Acidobacteria;Unclassified;Unclassified;Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Iamiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0.0	0.0	25.0	121.0	0.0	203.0	0.0	23.0	0.0	0.0	0.0	12.0	0.0	11.0	0.0	0.0	30.0	0.0	72.0	0.0	32.0	0.0	0.0	51.0	0.0	0.0	0.0	17.0	72.0	230.0	110.0	0.0	0.0	14.0	88.0	0.0	0.0	0.0	0.0	2.0	6.0	271.0	12.0	1.0	0.0	1.0	1.0	136.0	21.0	1.0	0.0	12.0	0.0	0.0	128.0	62.0	33.0	1.0	67.0	0.0	7.0	4.0	0.0	0.0	1.0	0.0	32.0	1.0	16.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	391.0	23.0	0.0	177.0	0.0	229.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	1785.0	1487.0	1273.0	2761.0	188.0	29.0	801.0	961.0	1856.0	2547.0	78.0	196.0	215.0	1611.0	647.0	1857.0	1006.0	2750.0	1119.0	570.0	1169.0	1038.0	329.0	2002.0	1343.0	241.0	1256.0	888.0	2135.0	1596.0	645.0	1251.0	1401.0	2666.0	255.0	745.0	1622.0	392.0	1600.0	1105.0	868.0	1004.0	1135.0	1093.0	503.0	660.0	746.0	1481.0	1221.0	208.0	1109.0	333.0	800.0	1045.0	698.0	919.0	637.0	1314.0	1414.0	950.0	119.0	4299.0	775.0	1791.0	1135.0	546.0	1878.0	224.0	1810.0	738.0	373.0	306.0	1569.0	3602.0	1565.0	233.0	688.0	242.0	774.0	2375.0	1655.0	585.0	1417.0	1336.0	1285.0	47.0	1694.0	716.0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae	2770.0	577.0	29.0	1011.0	1217.0	871.0	119.0	1405.0	262.0	1146.0	112.0	144.0	264.0	1818.0	77.0	8.0	629.0	1636.0	674.0	1590.0	500.0	1518.0	238.0	2829.0	747.0	607.0	1213.0	881.0	1479.0	866.0	238.0	1726.0	1942.0	3011.0	406.0	344.0	802.0	1904.0	2512.0	81.0	677.0	537.0	1359.0	2706.0	611.0	615.0	1273.0	1304.0	1006.0	213.0	1061.0	346.0	169.0	2190.0	801.0	698.0	327.0	1676.0	607.0	1469.0	283.0	1566.0	1974.0	564.0	565.0	538.0	703.0	170.0	557.0	779.0	1110.0	597.0	1525.0	2453.0	1240.0	2039.0	554.0	17.0	550.0	3791.0	1255.0	1087.0	739.0	873.0	2032.0	341.0	1371.0	292.0
Bacteria;Actinobacteria;Actinobacteria;Other;Other	0.0	294.0	0.0	0.0	174.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	235.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	58.0	0.0	0.0	0.0	2.0	0.0	157.0	1.0	0.0	0.0	43.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	301.0	34.0	29.0	0.0	0.0	0.0	2.0	237.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
